customer_id,customer_ltv
76183c3baa6c,2392.0
b02ecfd0f18d,12370.800000000001
d44b02622736,8281.0
5a4a630327a0,12818.000000000002
231995cf0916,17448.228571428568
fae8565869b1,8884.2
dbb7f5a2c0d4,6870.933333333333
d642a91ea4e4,16493.75
2879a4bfbb50,12606.360000000002
c670daa7e51c,23516.350000000002
6bf395627851,7685.599999999999
41c2a7fda011,9764.733333333332
7d7fe2b3091c,10839.400000000001
4b6bf961d1bf,9717.76
23a38f3886cc,523.9
8497a109a263,5488.6
211764fe0e81,12532.0
297286f6705c,6199.266666666667
0b46c0536ee4,8315.666666666668
3bc40dd7d140,8218.311111111112
5da32100006b,15506.400000000001
ce218f4d6b6a,15814.24
6c1fb59debd0,10442.342857142858
2eb18f75817d,3369.6000000000004
49d83da3b094,8347.560000000001
59e1334b00e9,8547.066666666668
9bc11d8ac1dd,6323.200000000001
77be30f4d2b2,10845.714285714286
d0baf4d11996,14889.160000000002
0cb3f4bdb94b,3816.8
af7b81ca22a7,8386.733333333334
8fff640f5c8c,12914.720000000001
7784d50a5dbe,16218.8
f879ce019eb7,21889.771428571432
b033af15661d,13593.745454545453
136395ff6a28,20115.085714285713
bba3b3f03bfb,8300.933333333334
ffc911262cd5,5957.639999999999
13103fcfb98c,5908.933333333334
8338c37c098f,9784.914285714287
297abdfd821e,8931.519999999999
f82d02da0bcb,14226.160000000002
eb359016e8d6,4914.0
4447afe26ff7,12680.2
817a2b9f1b49,16628.3
f98ffeff9ca4,11596.866666666667
080a257c1f0e,12134.849999999999
3180d090bc96,6230.342857142858
eaeda57e3148,13425.533333333333
5abd3a376bbf,14989.866666666667
