customer_id,week_id,visits_per_wk,amount_per_wk,amount_per_visit
080a257c1f0e,0,2,0.0,0.0
080a257c1f0e,1,2,0.0,0.0
080a257c1f0e,2,4,186.69,46.6725
0b46c0536ee4,0,1,0.0,0.0
0b46c0536ee4,1,3,75.37,25.123333333333335
0b46c0536ee4,2,2,20.58,10.29
0cb3f4bdb94b,0,2,0.0,0.0
0cb3f4bdb94b,1,2,29.36,14.68
13103fcfb98c,0,1,34.09,34.09
13103fcfb98c,1,2,0.0,0.0
136395ff6a28,0,1,97.58,97.58
136395ff6a28,1,3,76.32000000000001,25.44
136395ff6a28,2,3,96.88,32.29333333333333
211764fe0e81,0,1,0.0,0.0
211764fe0e81,1,3,96.4,32.13333333333333
231995cf0916,0,1,61.27,61.27
231995cf0916,1,3,78.52,26.173333333333332
231995cf0916,2,3,95.08999999999999,31.696666666666662
23a38f3886cc,0,1,0.0,0.0
23a38f3886cc,1,2,4.03,2.015
23a38f3886cc,2,1,0.0,0.0
2879a4bfbb50,0,1,51.74,51.74
2879a4bfbb50,1,4,51.71,12.9275
2879a4bfbb50,2,5,138.98,27.796
297286f6705c,0,1,12.35,12.35
297286f6705c,1,2,0.0,0.0
297286f6705c,2,3,59.18,19.726666666666667
297abdfd821e,0,2,0.0,0.0
297abdfd821e,1,4,5.71,1.4275
297abdfd821e,2,4,166.05,41.5125
2eb18f75817d,0,1,0.0,0.0
2eb18f75817d,1,2,31.66,15.83
2eb18f75817d,2,3,7.22,2.4066666666666667
3180d090bc96,0,2,60.19,30.095
3180d090bc96,1,2,0.0,0.0
3180d090bc96,2,3,23.68,7.8933333333333335
3bc40dd7d140,0,2,15.07,7.535
3bc40dd7d140,1,5,35.8,7.159999999999999
3bc40dd7d140,2,2,91.37,45.685
41c2a7fda011,0,1,56.12,56.12
41c2a7fda011,1,6,90.59,15.098333333333334
41c2a7fda011,2,5,78.63,15.725999999999999
4447afe26ff7,0,1,0.0,0.0
4447afe26ff7,1,3,61.66,20.55333333333333
4447afe26ff7,2,4,133.42000000000002,33.355000000000004
49d83da3b094,0,1,0.0,0.0
49d83da3b094,1,4,24.72,6.18
49d83da3b094,2,5,135.81,27.162
4b6bf961d1bf,0,1,0.0,0.0
4b6bf961d1bf,1,2,57.97,28.985
4b6bf961d1bf,2,2,35.47,17.735
59e1334b00e9,0,2,52.38,26.19
59e1334b00e9,1,2,0.0,0.0
59e1334b00e9,2,5,95.55,19.11
5a4a630327a0,0,1,63.42,63.42
5a4a630327a0,1,2,56.59,28.295
5a4a630327a0,2,4,52.54,13.135
5abd3a376bbf,0,1,0.0,0.0
5abd3a376bbf,1,2,86.48,43.24
5da32100006b,0,4,81.26,20.315
5da32100006b,1,2,97.66,48.83
6bf395627851,0,1,0.0,0.0
6bf395627851,1,4,17.88,4.47
6bf395627851,2,2,85.58,42.79
6c1fb59debd0,0,4,72.77,18.1925
6c1fb59debd0,1,3,67.8,22.599999999999998
76183c3baa6c,0,3,18.4,6.133333333333333
76183c3baa6c,1,1,0.0,0.0
7784d50a5dbe,0,1,0.0,0.0
7784d50a5dbe,1,2,149.45,74.725
7784d50a5dbe,2,4,68.88,17.22
77be30f4d2b2,0,3,3.16,1.0533333333333335
77be30f4d2b2,1,4,142.84,35.71
7d7fe2b3091c,0,5,29.96,5.992
7d7fe2b3091c,1,3,136.8,45.6
817a2b9f1b49,0,2,0.0,0.0
817a2b9f1b49,1,3,177.37,59.123333333333335
817a2b9f1b49,2,3,78.45,26.150000000000002
8338c37c098f,0,4,80.74,20.185
8338c37c098f,1,3,50.98,16.993333333333332
8497a109a263,0,3,63.33,21.11
8497a109a263,1,3,0.0,0.0
8fff640f5c8c,0,5,124.18,24.836000000000002
9bc11d8ac1dd,0,1,0.0,0.0
9bc11d8ac1dd,1,3,48.64,16.213333333333335
af7b81ca22a7,0,2,33.47,16.735
af7b81ca22a7,1,4,63.3,15.825
b02ecfd0f18d,0,3,54.4,18.133333333333333
b02ecfd0f18d,1,5,135.92000000000002,27.184000000000005
b033af15661d,0,1,0.0,0.0
b033af15661d,1,6,116.23,19.371666666666666
b033af15661d,2,4,171.32999999999998,42.832499999999996
bba3b3f03bfb,0,1,0.0,0.0
bba3b3f03bfb,1,2,47.89,23.945
c670daa7e51c,0,4,138.86,34.715
c670daa7e51c,1,4,222.93,55.7325
ce218f4d6b6a,0,1,95.79,95.79
ce218f4d6b6a,1,5,42.3,8.459999999999999
ce218f4d6b6a,2,4,166.03,41.5075
d0baf4d11996,0,1,76.58,76.58
d0baf4d11996,1,5,17.88,3.5759999999999996
d0baf4d11996,2,4,191.87,47.9675
d44b02622736,0,1,0.0,0.0
d44b02622736,1,3,63.7,21.233333333333334
d642a91ea4e4,0,4,181.60999999999999,45.402499999999996
d642a91ea4e4,1,4,72.14,18.035
dbb7f5a2c0d4,0,1,0.0,0.0
dbb7f5a2c0d4,1,2,39.64,19.82
eaeda57e3148,0,5,95.8,19.16
eaeda57e3148,1,1,59.11,59.11
eb359016e8d6,0,1,0.0,0.0
eb359016e8d6,1,3,37.8,12.6
f82d02da0bcb,0,1,79.01,79.01
f82d02da0bcb,1,2,57.78,28.89
f82d02da0bcb,2,2,0.0,0.0
f879ce019eb7,0,2,102.86000000000001,51.43000000000001
f879ce019eb7,1,2,0.0,0.0
f879ce019eb7,2,3,191.81,63.93666666666667
f98ffeff9ca4,0,3,0.0,0.0
f98ffeff9ca4,1,3,133.81,44.60333333333333
fae8565869b1,0,2,0.0,0.0
fae8565869b1,1,2,68.34,34.17
ffc911262cd5,0,5,64.77,12.953999999999999
